priority,task_family,dataset,structure,mask_or_setup,evidence_delta_fg,evidence_delta_val_loss,status,readiness,why_it_matters,evidence_path
1,task5_midframe,cifar16_triplet_midfirst,missing middle frame from context,prefix:0.333,+0.2186,-0.7797,archived_positive,ready_now,strongest visual positive control and same mechanism as video midframe fill,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_long_20260302T050853Z/summary_agg.json
2,task5_realvideo_gap16_long_v1,realtriplet_midfirst_gap16,missing middle frame with much larger gap,prefix:0.333,+0.1529,-0.6820,confirmed_positive,ready_now,strongest confirmed real-video gain so far while staying in the same task family,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_gap16_long_v1_20260307T032500Z/summary_agg.json
3,task5_realvideo_long_v2,realtriplet_midfirst,missing middle frame from adjacent context,prefix:0.333,+0.1495,-0.7089,confirmed_positive,ready_now,strong adjacent-context real-video result showing the effect is not limited to only large temporal gaps,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_long_v2_20260307T014857Z/summary_agg.json
4,realvideo_square_migration_confirm3,realvideo_complex_midfirst,frame-local square-hole transfer from ratio50 weights,"square(frame_side=24, frame_index=0, size=8)",+0.0891,-0.4154,confirm_pass,ready_now,shows the gain transfers from prefix-style conditioning into a more classic local hole-filling geometry,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/realvideo_square_migration_confirm3_20260308T123605Z/summary_agg.json
5,task5_realvideo_gap40_confirm3,realtriplet_midfirst_gap40,missing middle frame with largest reachable confirmed gap,prefix:0.333,+0.1461,-0.6455,confirm_pass,ready_now,highest-gap real-video line with 3-seed confirm and all non-negative FG deltas,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_gap40_confirm3_20260307T133455Z/summary_agg.json
6,task5_realvideo_gap40_long_v1,realtriplet_midfirst_gap40,missing middle frame with strongest reachable single-seed gap,prefix:0.333,+0.1471,-0.6291,confirmed_positive,ready_now,shows the task5 family stays strong even at the largest raw-window-constrained gap,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_gap40_long_v1_20260307T105308Z/summary_agg.json
7,task5_realvideo_gap32_long_v1,realtriplet_midfirst_gap32,missing middle frame with extreme temporal gap,prefix:0.333,+0.1359,-0.6407,confirmed_positive,ready_now,proved the ladder stayed healthy beyond gap24 and unlocked gap40,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_gap32_long_v1_20260307T040700Z/summary_agg.json
8,task5_realvideo_gap24_long_v1,realtriplet_midfirst_gap24,missing middle frame with larger temporal gap,prefix:0.333,+0.1358,-0.6559,confirmed_positive,ready_now,clean midpoint in the real-video gap ladder and one of the first signs the family would scale,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task5_realvideo_gap24_long_v1_20260307T040500Z/summary_agg.json
9,task2_square_hole,cifar16_gray_row,classic spatial hole filling,square,+0.0081,-0.2183,weak_positive,ready_now,closest archived image-style hole-filling task if we want a simpler spatial baseline,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/task2_long_20260302T044214Z/summary_agg.json
10,realvideo_left=right,synthetic_realvideo_copy,copy-style future-dependent control,prefix:0.5,,derived_candidate,derived_only,high-value mechanism control if any future real-video branch becomes ambiguous,
11,task1_left_half,cifar16_gray_col,left-half recovery from right-half context,prefix:0.5,+0.0000,+0.0000,negative,archived_only,important negative control showing not every future-looking task wins,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/coarse_15_20260302T033458Z/summary_agg.json
12,moving_mnist_*,moving_mnist_variants,moving-digit interpolation with unstable FG metric,mixed,+0.0000,+0.0000,metric_unreliable,not_recommended,FG metric path is degenerate here so current numbers are not trustworthy,/Users/torusmini/Downloads/autodl3-impainting-fs/future-seed-video/artifacts/moving_mnist_coarse120_20260302T110339Z/summary_agg.json
